classifier,n,Lhat,trainTime,testTime,iterate
MORF, 10, 0.502000000, 0.093364239, 0.025909185, 0
MORF, 10, 0.502000000, 0.074409008, 0.025504112, 1
MORF, 10, 0.502000000, 0.074461222, 0.025933743, 2
MORF, 10, 0.502000000, 0.072964907, 0.027743101, 3
MORF, 10, 0.502000000, 0.074147701, 0.028076649, 4
CNN, 10, 0.497500000, 0.210062265, 0.054711103, 0
CNN, 10, 0.495000000, 0.057754040, 0.034088373, 1
CNN, 10, 0.500000000, 0.056369066, 0.028004408, 2
CNN, 10, 0.499000000, 0.055940390, 0.039715528, 3
CNN, 10, 0.498000000, 0.076831102, 0.032608271, 4
MORF, 50, 0.489500000, 0.553257465, 0.027971745, 0
MORF, 50, 0.489500000, 0.514998674, 0.034873962, 1
MORF, 50, 0.489500000, 0.493547678, 0.029985428, 2
MORF, 50, 0.489500000, 0.497646809, 0.039462090, 3
MORF, 50, 0.489500000, 0.502228260, 0.028552532, 4
CNN, 50, 0.495000000, 0.477526665, 0.034778833, 0
CNN, 50, 0.498000000, 0.078532696, 0.040863276, 1
CNN, 50, 0.489500000, 0.070869446, 0.031339169, 2
CNN, 50, 0.497500000, 0.071943998, 0.029049873, 3
CNN, 50, 0.492500000, 0.071488142, 0.050243616, 4
MORF, 100, 0.494000000, 1.423195124, 0.033240795, 0
MORF, 100, 0.494000000, 1.404343128, 0.031736135, 1
MORF, 100, 0.494000000, 1.382635117, 0.032256603, 2
MORF, 100, 0.494000000, 1.394735813, 0.035305738, 3
MORF, 100, 0.494000000, 1.344501495, 0.031900644, 4
CNN, 100, 0.455000000, 0.399650812, 0.048492908, 0
CNN, 100, 0.448500000, 0.087262154, 0.039695740, 1
CNN, 100, 0.454500000, 0.085642338, 0.029438734, 2
CNN, 100, 0.442000000, 0.083884954, 0.029386997, 3
CNN, 100, 0.457000000, 0.083696842, 0.029562950, 4
MORF, 200, 0.490500000, 3.429788828, 0.037836075, 0
MORF, 200, 0.490500000, 3.378646851, 0.037353277, 1
MORF, 200, 0.490500000, 3.728226662, 0.037955046, 2
MORF, 200, 0.490500000, 3.519190311, 0.048802376, 3
MORF, 200, 0.490500000, 3.612098932, 0.052997828, 4
CNN, 200, 0.330500000, 0.387678862, 0.035603523, 0
CNN, 200, 0.306000000, 0.167875528, 0.029038191, 1
CNN, 200, 0.274500000, 0.183449507, 0.045947313, 2
CNN, 200, 0.256000000, 0.223153591, 0.044411659, 3
CNN, 200, 0.277000000, 0.159755230, 0.044680357, 4
MORF, 400, 0.443500000, 8.051301003, 0.040752888, 0
MORF, 400, 0.443500000, 7.890241623, 0.054169416, 1
MORF, 400, 0.443500000, 7.800746918, 0.047212601, 2
MORF, 400, 0.443500000, 7.881129026, 0.048019648, 3
MORF, 400, 0.443500000, 7.574704885, 0.036365747, 4
CNN, 400, 0.075000000, 0.429576159, 0.061155081, 0
CNN, 400, 0.055000000, 0.307349205, 0.044234037, 1
CNN, 400, 0.038000000, 0.288719654, 0.040720463, 2
CNN, 400, 0.044500000, 0.292670250, 0.054710865, 3
CNN, 400, 0.042500000, 0.286128998, 0.038781166, 4
MORF, 1000, 0.333500000, 26.071768522, 0.067693710, 0
MORF, 1000, 0.333500000, 27.545695305, 0.167344809, 1
MORF, 1000, 0.333500000, 25.356756687, 0.048143625, 2
MORF, 1000, 0.333500000, 25.283287048, 0.058871984, 3
MORF, 1000, 0.333500000, 24.892903805, 0.093384981, 4
CNN, 1000, 0.007000000, 0.747638702, 0.064569473, 0
CNN, 1000, 0.004500000, 0.598745584, 0.040302992, 1
CNN, 1000, 0.001500000, 0.475506783, 0.032660246, 2
CNN, 1000, 0.005500000, 0.476191998, 0.045439243, 3
CNN, 1000, 0.002000000, 0.488362789, 0.032744169, 4
MORF, 2000, 0.148500000, 61.451776266, 0.058748245, 0
MORF, 2000, 0.148500000, 62.533168793, 0.077781916, 1
MORF, 2000, 0.148500000, 59.689482689, 0.061650038, 2
MORF, 2000, 0.148500000, 59.724301577, 0.047196865, 3
MORF, 2000, 0.148500000, 60.229246855, 0.062801361, 4
CNN, 2000, 0.000500000, 0.970729113, 0.034759283, 0
CNN, 2000, 0.000000000, 0.964925289, 0.045076370, 1
CNN, 2000, 0.001500000, 0.957228899, 0.030477285, 2
CNN, 2000, 0.000500000, 1.014984369, 0.043200731, 3
CNN, 2000, 0.000500000, 1.011345625, 0.030521393, 4
