classifier,n,Lhat,trainTime,testTime,iterate
MORF, 10, 0.118000000, 1.572193146, 0.038881540, 0
MORF, 10, 0.112500000, 0.964483738, 0.037359715, 1
MORF, 10, 0.117000000, 0.923109770, 0.046822071, 2
MORF, 10, 0.120000000, 1.005037308, 0.048664570, 3
MORF, 10, 0.112000000, 0.891864061, 0.039606810, 4
CNN, 10, 0.105000000, 0.445813417, 0.356822252, 0
CNN, 10, 0.174000000, 0.236601353, 0.344443083, 1
CNN, 10, 0.183000000, 0.231213093, 0.358768225, 2
CNN, 10, 0.177500000, 0.369479656, 0.351534605, 3
CNN, 10, 0.175000000, 0.386889935, 0.356940746, 4
MORF, 50, 0.009000000, 9.098674059, 0.058988333, 0
MORF, 50, 0.007500000, 9.115230083, 0.075469255, 1
MORF, 50, 0.009000000, 8.871988297, 0.053714991, 2
MORF, 50, 0.009000000, 9.292332888, 0.060021400, 3
MORF, 50, 0.009000000, 9.030423641, 0.131490707, 4
CNN, 50, 0.027500000, 0.546081066, 0.343217850, 0
CNN, 50, 0.000500000, 0.498844624, 0.342990160, 1
CNN, 50, 0.000500000, 0.311420679, 0.342833042, 2
CNN, 50, 0.000500000, 0.310192108, 0.345203638, 3
CNN, 50, 0.000500000, 0.336991549, 0.342485189, 4
MORF, 100, 0.024000000, 18.203249454, 0.111695766, 0
MORF, 100, 0.024000000, 19.645775795, 0.088053226, 1
MORF, 100, 0.024000000, 18.405628681, 0.082379341, 2
MORF, 100, 0.024000000, 18.616260052, 0.075802565, 3
MORF, 100, 0.024000000, 18.254143000, 0.053007603, 4
CNN, 100, 0.000500000, 0.575233221, 0.367416859, 0
CNN, 100, 0.000500000, 0.468422890, 0.338344097, 1
CNN, 100, 0.000500000, 0.444795132, 0.340126514, 2
CNN, 100, 0.000500000, 0.461044073, 0.344234943, 3
CNN, 100, 0.000500000, 0.459842920, 0.340829134, 4
MORF, 200, 0.000500000, 36.415184021, 0.081703424, 0
MORF, 200, 0.000500000, 36.097340107, 0.101273775, 1
MORF, 200, 0.000500000, 36.424367666, 0.102855682, 2
MORF, 200, 0.000500000, 36.798601389, 0.187978983, 3
MORF, 200, 0.000500000, 35.502773762, 0.140815973, 4
CNN, 200, 0.000500000, 0.775469303, 0.336837292, 0
CNN, 200, 0.000500000, 0.729565859, 0.335938215, 1
CNN, 200, 0.000500000, 0.695745945, 0.350947142, 2
CNN, 200, 0.000500000, 0.811824799, 0.331536770, 3
CNN, 200, 0.000500000, 0.729209185, 0.353389740, 4
MORF, 400, 0.001000000, 83.261457205, 0.126922369, 0
MORF, 400, 0.001000000, 82.100991726, 0.123679638, 1
MORF, 400, 0.001000000, 82.500087023, 0.179129839, 2
MORF, 400, 0.001000000, 85.691577196, 0.097938299, 3
MORF, 400, 0.001000000, 79.817700148, 0.146908998, 4
CNN, 400, 0.001500000, 2.910941362, 0.348780155, 0
CNN, 400, 0.000500000, 3.136390448, 0.352160692, 1
CNN, 400, 0.000500000, 2.393124104, 0.346384525, 2
CNN, 400, 0.000500000, 2.397339821, 0.344658375, 3
CNN, 400, 0.000500000, 2.356833458, 0.343839645, 4
MORF, 1000, 0.000500000, 267.051307201, 0.175799847, 0
MORF, 1000, 0.000500000, 284.205813646, 0.077104330, 1
MORF, 1000, 0.000500000, 263.158848047, 0.130244732, 2
MORF, 1000, 0.000500000, 301.402058363, 0.054193020, 3
MORF, 1000, 0.000500000, 254.626331806, 0.169562578, 4
CNN, 1000, 0.000000000, 12.163162231, 0.350714922, 0
CNN, 1000, 0.000000000, 13.521320820, 0.400681019, 1
CNN, 1000, 0.000000000, 13.473580360, 0.347553968, 2
CNN, 1000, 0.000000000, 13.138532162, 0.348916292, 3
CNN, 1000, 0.000000000, 13.087874651, 0.352806330, 4
MORF, 2000, 0.000500000, 532.165337086, 0.155293703, 0
MORF, 2000, 0.000500000, 557.214681864, 0.094027519, 1
MORF, 2000, 0.000500000, 534.075302601, 0.065078259, 2
MORF, 2000, 0.000500000, 559.855513334, 0.073694229, 3
MORF, 2000, 0.000500000, 533.248894930, 0.092961550, 4
CNN, 2000, 0.000500000, 9.897883415, 0.367639780, 0
CNN, 2000, 0.000500000, 10.514415741, 0.410655260, 1
CNN, 2000, 0.000500000, 10.069700718, 0.358356953, 2
CNN, 2000, 0.000500000, 9.756325483, 0.358315706, 3
CNN, 2000, 0.000500000, 9.658221006, 0.359793186, 4
