classifier,n,Lhat,trainTime,testTime,iterate
MF, 10, 0.187500000, 0.006111145, 0.031314850, 0
MF, 10, 0.187500000, 0.001497030, 0.025561094, 1
MF, 10, 0.187500000, 0.001389027, 0.025913715, 2
MF, 10, 0.187500000, 0.001997232, 0.025120735, 3
MF, 10, 0.187500000, 0.001408100, 0.024887085, 4
MF, 50, 0.143000000, 0.006502628, 0.025641918, 0
MF, 50, 0.143000000, 0.006332636, 0.023769379, 1
MF, 50, 0.143000000, 0.006485701, 0.024723530, 2
MF, 50, 0.143000000, 0.006512642, 0.026495695, 3
MF, 50, 0.143000000, 0.006201267, 0.024640799, 4
MF, 100, 0.151500000, 0.018455267, 0.026600599, 0
MF, 100, 0.151500000, 0.017110109, 0.025695086, 1
MF, 100, 0.151500000, 0.017541170, 0.025133371, 2
MF, 100, 0.151500000, 0.017213345, 0.025934935, 3
MF, 100, 0.151500000, 0.018989801, 0.026227474, 4
MF, 200, 0.141500000, 0.049348831, 0.026052952, 0
MF, 200, 0.141500000, 0.050207376, 0.025827646, 1
MF, 200, 0.141500000, 0.055087090, 0.031527281, 2
MF, 200, 0.141500000, 0.050953150, 0.026466608, 3
MF, 200, 0.141500000, 0.049437284, 0.026821613, 4
MF, 400, 0.137000000, 0.132603645, 0.028124571, 0
MF, 400, 0.137000000, 0.133314133, 0.027935743, 1
MF, 400, 0.137000000, 0.133327484, 0.026964426, 2
MF, 400, 0.137000000, 0.132962942, 0.028458834, 3
MF, 400, 0.137000000, 0.133077145, 0.027275801, 4
MF, 1000, 0.132000000, 0.485316277, 0.031943321, 0
MF, 1000, 0.132000000, 0.488194227, 0.030716419, 1
MF, 1000, 0.132000000, 0.468492985, 0.030132055, 2
MF, 1000, 0.132000000, 0.459261894, 0.029878139, 3
MF, 1000, 0.132000000, 0.465081692, 0.029626131, 4
MF, 2000, 0.132000000, 1.057389259, 0.031321526, 0
MF, 2000, 0.132000000, 1.119263649, 0.031380177, 1
MF, 2000, 0.132000000, 1.114419460, 0.030355930, 2
MF, 2000, 0.132000000, 1.115545511, 0.030624628, 3
MF, 2000, 0.132000000, 1.069651842, 0.032078028, 4
