classifier,n,Lhat,trainTime,testTime,iterate
XGB, 10, 0.458500000, 0.059020758, 0.007939577, 0
XGB, 10, 0.458500000, 0.015421152, 0.006494045, 1
XGB, 10, 0.458500000, 0.014301777, 0.006402016, 2
XGB, 10, 0.458500000, 0.014553070, 0.006276846, 3
XGB, 10, 0.458500000, 0.014332056, 0.006282568, 4
XGB, 50, 0.247000000, 0.017673016, 0.006353140, 0
XGB, 50, 0.247000000, 0.017493486, 0.006371260, 1
XGB, 50, 0.247000000, 0.017496824, 0.006376982, 2
XGB, 50, 0.247000000, 0.017666340, 0.006333113, 3
XGB, 50, 0.247000000, 0.017819405, 0.006376743, 4
XGB, 100, 0.254500000, 0.024024010, 0.006431103, 0
XGB, 100, 0.254500000, 0.023352623, 0.006361723, 1
XGB, 100, 0.254500000, 0.022175789, 0.006381035, 2
XGB, 100, 0.254500000, 0.021330595, 0.006481886, 3
XGB, 100, 0.254500000, 0.025906324, 0.006449699, 4
XGB, 200, 0.213500000, 0.038720608, 0.006548166, 0
XGB, 200, 0.213500000, 0.041160107, 0.006478786, 1
XGB, 200, 0.213500000, 0.040826559, 0.006585598, 2
XGB, 200, 0.213500000, 0.039744139, 0.006543875, 3
XGB, 200, 0.213500000, 0.050137997, 0.006502867, 4
XGB, 400, 0.189000000, 0.102167368, 0.006536245, 0
XGB, 400, 0.189000000, 0.101044178, 0.006605148, 1
XGB, 400, 0.189000000, 0.102952242, 0.006602287, 2
XGB, 400, 0.189000000, 0.128650427, 0.026860476, 3
XGB, 400, 0.189000000, 0.109199762, 0.006519794, 4
XGB, 1000, 0.173500000, 0.173734665, 0.006625891, 0
XGB, 1000, 0.173500000, 0.163574696, 0.007388115, 1
XGB, 1000, 0.173500000, 0.182132244, 0.006690025, 2
XGB, 1000, 0.173500000, 0.170013905, 0.006754637, 3
XGB, 1000, 0.173500000, 0.193583012, 0.008925438, 4
XGB, 2000, 0.161500000, 0.193614960, 0.006796837, 0
XGB, 2000, 0.161500000, 0.169058323, 0.006621838, 1
XGB, 2000, 0.161500000, 0.166244507, 0.006562471, 2
XGB, 2000, 0.161500000, 0.167866468, 0.006597996, 3
XGB, 2000, 0.161500000, 0.165634394, 0.006662369, 4
