classifier,n,Lhat,trainTime,testTime,iterate
RF, 10, 0.497500000, 0.006997347, 0.031258821, 0
RF, 10, 0.497500000, 0.001200676, 0.027843952, 1
RF, 10, 0.497500000, 0.001135111, 0.025118589, 2
RF, 10, 0.497500000, 0.001085520, 0.025561333, 3
RF, 10, 0.497500000, 0.001192331, 0.025190353, 4
RF, 50, 0.484500000, 0.003036261, 0.026231289, 0
RF, 50, 0.484500000, 0.003165960, 0.025951385, 1
RF, 50, 0.484500000, 0.003166676, 0.026597738, 2
RF, 50, 0.484500000, 0.003179550, 0.025615931, 3
RF, 50, 0.484500000, 0.003186941, 0.025387764, 4
RF, 100, 0.494000000, 0.005656481, 0.026152611, 0
RF, 100, 0.494000000, 0.005658388, 0.026416540, 1
RF, 100, 0.494000000, 0.005956411, 0.026990175, 2
RF, 100, 0.494000000, 0.006633759, 0.026619911, 3
RF, 100, 0.494000000, 0.005827188, 0.026854515, 4
RF, 200, 0.492000000, 0.012982130, 0.027137518, 0
RF, 200, 0.492000000, 0.012955189, 0.026647091, 1
RF, 200, 0.492000000, 0.013110161, 0.025890827, 2
RF, 200, 0.492000000, 0.012916803, 0.026436806, 3
RF, 200, 0.492000000, 0.013020754, 0.026881695, 4
RF, 400, 0.487500000, 0.026406765, 0.027283669, 0
RF, 400, 0.487500000, 0.027011395, 0.027053833, 1
RF, 400, 0.487500000, 0.026829958, 0.026684523, 2
RF, 400, 0.487500000, 0.026804447, 0.026165247, 3
RF, 400, 0.487500000, 0.026516676, 0.026600122, 4
RF, 1000, 0.443000000, 0.069881678, 0.027939796, 0
RF, 1000, 0.443000000, 0.068084955, 0.027372122, 1
RF, 1000, 0.443000000, 0.069493771, 0.027889967, 2
RF, 1000, 0.443000000, 0.068577766, 0.028185844, 3
RF, 1000, 0.443000000, 0.071465015, 0.027479887, 4
RF, 2000, 0.391000000, 0.139289618, 0.027117014, 0
RF, 2000, 0.391000000, 0.144924164, 0.027501822, 1
RF, 2000, 0.391000000, 0.153665066, 0.029049635, 2
RF, 2000, 0.391000000, 0.143851042, 0.027055740, 3
RF, 2000, 0.391000000, 0.143051624, 0.028613091, 4
