classifier,n,Lhat,trainTime,testTime,iterate
Log. Reg, 100, 0.291000000, 0.793567419, 0.017163754, 0
Log. Reg, 100, 0.291000000, 0.339508057, 0.013542414, 1
Log. Reg, 100, 0.291000000, 0.340910912, 0.012634039, 2
Log. Reg, 100, 0.291000000, 0.372474432, 0.012319803, 3
Log. Reg, 100, 0.291000000, 0.361651182, 0.012188435, 4
Lin. SVM, 100, 0.335000000, 0.108461380, 0.009261847, 0
Lin. SVM, 100, 0.335000000, 0.112624407, 0.008785725, 1
Lin. SVM, 100, 0.335000000, 0.082302094, 0.008785725, 2
Lin. SVM, 100, 0.335000000, 0.083000422, 0.008486748, 3
Lin. SVM, 100, 0.335000000, 0.085391283, 0.008619547, 4
SVM, 100, 0.343400000, 0.017018795, 0.782394648, 0
SVM, 100, 0.343400000, 0.017320871, 0.784857035, 1
SVM, 100, 0.343400000, 0.017225027, 0.785791874, 2
SVM, 100, 0.343400000, 0.016601086, 0.781736612, 3
SVM, 100, 0.343400000, 0.016904831, 0.785034180, 4
kNN, 100, 0.454700000, 0.001965761, 0.518555164, 0
kNN, 100, 0.454700000, 0.002008677, 0.506629229, 1
kNN, 100, 0.454700000, 0.001819611, 0.518276215, 2
kNN, 100, 0.454700000, 0.001884460, 0.565595865, 3
kNN, 100, 0.454700000, 0.001834393, 0.513932705, 4
RF, 100, 0.259100000, 0.020260334, 0.206263065, 0
RF, 100, 0.259100000, 0.011923552, 0.211528540, 1
RF, 100, 0.259100000, 0.011494160, 0.186556578, 2
RF, 100, 0.259100000, 0.011094809, 0.158135891, 3
RF, 100, 0.259100000, 0.011173725, 0.216413736, 4
MLP, 100, 0.315500000, 0.190648794, 0.026626587, 0
MLP, 100, 0.315500000, 0.186233521, 0.025956392, 1
MLP, 100, 0.315500000, 0.188360691, 0.026827574, 2
MLP, 100, 0.315500000, 0.187597513, 0.026032209, 3
MLP, 100, 0.315500000, 0.187284946, 0.026685953, 4
XGB, 100, 0.421900000, 0.215311766, 0.260371447, 0
XGB, 100, 0.421900000, 0.177603006, 0.259493351, 1
XGB, 100, 0.421900000, 0.209433556, 0.264109612, 2
XGB, 100, 0.421900000, 0.181317091, 0.250746727, 3
XGB, 100, 0.421900000, 0.176405191, 0.250587225, 4
SPORF, 100, 0.254800000, 0.017320156, 0.236795664, 0
SPORF, 100, 0.254800000, 0.018196344, 0.167889833, 1
SPORF, 100, 0.254800000, 0.018202066, 0.207904339, 2
SPORF, 100, 0.254800000, 0.018813372, 0.174842596, 3
SPORF, 100, 0.254800000, 0.018373966, 0.218307734, 4
MF, 100, 0.233700000, 0.027168751, 0.203172207, 0
MF, 100, 0.233700000, 0.029572010, 0.229908466, 1
MF, 100, 0.233700000, 0.032370806, 0.194906473, 2
MF, 100, 0.233700000, 0.026416540, 0.185985565, 3
MF, 100, 0.233700000, 0.026970148, 0.169929028, 4
Log. Reg, 200, 0.213600000, 0.564190149, 0.013811111, 0
Log. Reg, 200, 0.213600000, 0.502565861, 0.013629913, 1
Log. Reg, 200, 0.213600000, 0.495906115, 0.013440609, 2
Log. Reg, 200, 0.213600000, 0.510782719, 0.014090776, 3
Log. Reg, 200, 0.213600000, 0.497665405, 0.012486696, 4
Lin. SVM, 200, 0.287900000, 0.207075834, 0.010363340, 0
Lin. SVM, 200, 0.287900000, 0.205644846, 0.013068914, 1
Lin. SVM, 200, 0.287900000, 0.228456736, 0.011172056, 2
Lin. SVM, 200, 0.287900000, 0.219828606, 0.011280298, 3
Lin. SVM, 200, 0.287900000, 0.225629330, 0.011102438, 4
SVM, 200, 0.243300000, 0.063121796, 1.462081432, 0
SVM, 200, 0.243300000, 0.054713488, 1.458232880, 1
SVM, 200, 0.243300000, 0.055124521, 1.458821774, 2
SVM, 200, 0.243300000, 0.055104733, 1.459035158, 3
SVM, 200, 0.243300000, 0.055179834, 1.457871199, 4
kNN, 200, 0.329800000, 0.004620075, 0.704345942, 0
kNN, 200, 0.329800000, 0.004699469, 0.500159740, 1
kNN, 200, 0.329800000, 0.004536629, 0.704977274, 2
kNN, 200, 0.329800000, 0.004776001, 0.808852434, 3
kNN, 200, 0.329800000, 0.004760027, 0.702461243, 4
RF, 200, 0.195700000, 0.037686110, 0.151593924, 0
RF, 200, 0.195700000, 0.022356510, 0.152278423, 1
RF, 200, 0.195700000, 0.022251368, 0.180500507, 2
RF, 200, 0.195700000, 0.022351742, 0.184181690, 3
RF, 200, 0.195700000, 0.023839474, 0.157598495, 4
MLP, 200, 0.237200000, 0.248729706, 0.022775173, 0
MLP, 200, 0.237200000, 0.228538990, 0.020745277, 1
MLP, 200, 0.237200000, 0.230531693, 0.021349192, 2
MLP, 200, 0.237200000, 0.250128508, 0.025694132, 3
MLP, 200, 0.237200000, 0.269019365, 0.024357796, 4
XGB, 200, 0.280400000, 0.300638437, 0.258200645, 0
